city_index,city_name,city_country,city_lat,city_lon,population_2025_1000s,coast_distance_km,location,gauge_id,gauge_name,gauge_distance_km,lat,lon,low-end,low,central,high,high-end
185,Valparaíso,Chile,-33.04,-71.63,1024,2,499,499,VALPARAISO,1,-33.03,-71.63,0.03,0.12,0.33,0.67,1.65
203,Beihai,China,21.48,109.12,515,2,1408,1408,BEIHAI,4,21.48,109.08,0.07,0.22,0.54,0.99,2.03
219,Changshu,China,31.65,120.75,1124,16,979,979,LUSI,98,32.13,121.62,0.43,0.54,0.81,1.27,2.35
236,Dalian,China,38.91,121.6,6347,2,1513,1513,LAOHUTAN,8,38.87,121.68,0.19,0.29,0.55,1.01,2.06
239,Danzhou,China,19.52,109.58,476,34,1428,1428,HAIKOU,93,20.02,110.28,0.21,0.37,0.69,1.14,2.21
251,Dongguan,China,23.02,113.74,7773,13,1366,1366,TSIM_BEI_TSUI,65,22.49,114.01,0.08,0.2,0.48,0.9,1.97
257,Enping,China,22.19,112.3,457,22,933,933,ZHAPO,84,21.58,111.82,0.23,0.34,0.61,1.01,2.09
261,Fangchenggang,China,21.77,108.35,491,6,1408,1408,BEIHAI,82,21.48,109.08,0.07,0.22,0.54,0.99,2.03
290,Haikou,China,20.03,110.33,2095,3,1428,1428,HAIKOU,5,20.02,110.28,0.21,0.37,0.69,1.14,2.21
292,Haimen,China,31.9,121.17,715,5,979,979,LUSI,50,32.13,121.62,0.43,0.54,0.81,1.27,2.35
294,Haiyang,China,36.78,121.17,372,8,731,731,YANTAI,85,37.53,121.38,0.06,0.19,0.46,0.94,1.98
307,Heshan,China,22.77,112.96,448,28,269,269,MACAU,88,22.2,113.55,0.12,0.23,0.5,0.91,1.99
320,Huizhou,China,23.08,114.4,2891,41,1034,1034,TAI_PO_KAU,75,22.44,114.18,0.28,0.39,0.66,1.07,2.15
325,Jiangmen,China,22.58,113.08,1827,12,269,269,MACAU,64,22.2,113.55,0.12,0.23,0.5,0.91,1.99
342,Jinjiang,China,24.81,118.58,554,4,727,727,XIAMEN,65,24.45,118.07,0.2,0.31,0.59,1.01,2.09
352,Kaiping,China,22.37,112.7,426,28,269,269,MACAU,89,22.2,113.55,0.12,0.23,0.5,0.91,1.99
360,Laiyang,China,36.98,120.71,413,38,731,731,YANTAI,85,37.53,121.38,0.06,0.19,0.46,0.94,1.98
368,Lianyungang,China,34.6,119.18,2081,10,1405,1405,LIANYUNGANG,30,34.75,119.45,0.13,0.29,0.6,1.1,2.13
374,Linhai,China,28.85,121.14,814,26,934,934,KANMEN,87,28.08,121.28,0.26,0.36,0.62,1.07,2.17
385,Longhai,China,24.45,117.81,736,1,727,727,XIAMEN,26,24.45,118.07,0.2,0.31,0.59,1.01,2.09
386,Longkou,China,37.64,120.52,589,12,731,731,YANTAI,77,37.53,121.38,0.06,0.19,0.46,0.94,1.98
397,Maoming,China,21.66,110.92,1362,18,933,933,ZHAPO,93,21.58,111.82,0.23,0.34,0.61,1.01,2.09
409,Nantong,China,31.99,120.87,2614,2,979,979,LUSI,73,32.13,121.62,0.43,0.54,0.81,1.27,2.35
427,Qidong,China,31.81,121.66,415,9,979,979,LUSI,35,32.13,121.62,0.43,0.54,0.81,1.27,2.35
431,Qinhuangdao,China,39.93,119.59,1763,2,614,614,QINHUANGDAO,4,39.9,119.6,0.07,0.19,0.47,0.94,1.96
432,Qinzhou,China,21.97,108.62,726,9,1408,1408,BEIHAI,72,21.48,109.08,0.07,0.22,0.54,0.99,2.03
435,Quanzhou,China,24.9,118.6,1967,2,727,727,XIAMEN,73,24.45,118.07,0.2,0.31,0.59,1.01,2.09
440,Rizhao,China,35.4,119.51,1459,4,1404,1404,SHIJIUSUO,4,35.38,119.55,-0.01,0.15,0.46,0.96,1.99
443,Ruian,China,27.78,120.68,1345,5,934,934,KANMEN,68,28.08,121.28,0.26,0.36,0.62,1.07,2.17
444,Rushan,China,36.92,121.53,355,8,731,731,YANTAI,70,37.53,121.38,0.06,0.19,0.46,0.94,1.98
454,Shanwei,China,22.78,115.36,467,0,1406,1406,SHANWEI,3,22.75,115.35,0.11,0.26,0.59,1.04,2.11
461,Shenzhen,China,22.54,114.06,13545,4,1366,1366,TSIM_BEI_TSUI,8,22.49,114.01,0.08,0.2,0.48,0.9,1.97
464,Shishi,China,24.74,118.63,649,4,727,727,XIAMEN,65,24.45,118.07,0.2,0.31,0.59,1.01,2.09
481,Taicang,China,31.45,121.12,765,18,979,979,LUSI,89,32.13,121.62,0.43,0.54,0.81,1.27,2.35
482,Taishan,China,22.25,112.79,593,27,269,269,MACAU,78,22.2,113.55,0.12,0.23,0.5,0.91,1.99
486,"Taizhou, Zhejiang",China,28.64,121.42,2199,6,934,934,KANMEN,63,28.08,121.28,0.26,0.36,0.62,1.07,2.17
487,"Tangshan, Hebei",China,39.63,118.18,4024,48,1403,1403,TANGGU,80,39.0,117.72,0.02,0.18,0.5,1.0,2.01
489,Tianjin,China,39.11,117.19,14704,46,1403,1403,TANGGU,48,39.0,117.72,0.02,0.18,0.5,1.0,2.01
500,Wafangdian ,China,39.63,121.99,494,25,1513,1513,LAOHUTAN,88,38.87,121.68,0.19,0.29,0.55,1.01,2.06
503,Weihai,China,37.5,122.11,1499,2,731,731,YANTAI,65,37.53,121.38,0.06,0.19,0.46,0.94,1.98
505,Wenchang,China,19.61,110.75,409,5,1428,1428,HAIKOU,67,20.02,110.28,0.21,0.37,0.69,1.14,2.21
506,Wenling,China,28.38,121.38,1185,8,934,934,KANMEN,34,28.08,121.28,0.26,0.36,0.62,1.07,2.17
507,Wenzhou,China,28.0,120.67,4093,2,934,934,KANMEN,61,28.08,121.28,0.26,0.36,0.62,1.07,2.17
516,Xiamen,China,24.48,118.08,4078,1,727,727,XIAMEN,4,24.45,118.07,0.2,0.31,0.59,1.01,2.09
548,Yangchun,China,22.17,111.79,324,42,933,933,ZHAPO,66,21.58,111.82,0.23,0.34,0.61,1.01,2.09
549,Yangjiang,China,21.86,111.96,996,5,933,933,ZHAPO,34,21.58,111.82,0.23,0.34,0.61,1.01,2.09
554,Yantai,China,37.47,121.44,2898,3,731,731,YANTAI,9,37.53,121.38,0.06,0.19,0.46,0.94,1.98
570,Yueqing,China,28.12,120.96,1230,4,934,934,KANMEN,32,28.08,121.28,0.26,0.36,0.62,1.07,2.17
572,Yuhuan,China,28.14,121.23,517,2,934,934,KANMEN,8,28.08,121.28,0.26,0.36,0.62,1.07,2.17
586,Zhangzhou,China,24.51,117.66,1002,13,727,727,XIAMEN,43,24.45,118.07,0.2,0.31,0.59,1.01,2.09
591,Zhaoyuan,China,37.36,120.4,385,24,731,731,YANTAI,89,37.53,121.38,0.06,0.19,0.46,0.94,1.98
594,Zhongshan,China,22.52,113.38,3094,13,269,269,MACAU,39,22.2,113.55,0.12,0.23,0.5,0.91,1.99
599,Zhucheng,China,35.99,119.4,1045,47,1404,1404,SHIJIUSUO,70,35.38,119.55,-0.01,0.15,0.46,0.96,1.99
600,Zhuhai,China,22.28,113.57,1969,1,269,269,MACAU,9,22.2,113.55,0.12,0.23,0.5,0.91,1.99
610,Hong Kong,"China, Hong Kong SAR",22.28,114.19,7769,1,1674,1674,QUARRY_BAY,2,22.29,114.21,0.13,0.26,0.56,0.99,2.06
611,Macao,"China, Macao SAR",22.2,113.55,701,1,269,269,MACAU,0,22.2,113.55,0.12,0.23,0.5,0.91,1.99
612,Gaoxiong,"China, Taiwan Province of China",22.63,120.32,1566,4,1356,1356,KAOHSIUNG_II,11,22.53,120.32,0.05,0.21,0.56,1.02,2.12
613,Jilong,"China, Taiwan Province of China",25.13,121.74,371,1,545,545,KEELUNG_II,1,25.13,121.73,0.16,0.28,0.57,1.03,2.14
614,Taibei,"China, Taiwan Province of China",25.05,121.55,2779,16,545,545,KEELUNG_II,21,25.13,121.73,0.16,0.28,0.57,1.03,2.14
615,Tainan,"China, Taiwan Province of China",23.13,120.26,881,13,1356,1356,KAOHSIUNG_II,67,22.53,120.32,0.05,0.21,0.56,1.02,2.12
617,Taoyuan,"China, Taiwan Province of China",24.99,121.3,2357,15,545,545,KEELUNG_II,46,25.13,121.73,0.16,0.28,0.57,1.03,2.14
618,Xinbei,"China, Taiwan Province of China",25.01,121.46,4564,16,545,545,KEELUNG_II,30,25.13,121.73,0.16,0.28,0.57,1.03,2.14
619,Xinzhu,"China, Taiwan Province of China",24.8,120.97,467,5,545,545,KEELUNG_II,85,25.13,121.73,0.16,0.28,0.57,1.03,2.14
624,Buenaventura,Colombia,3.89,-77.07,488,0,456,456,BUENAVENTURA,4,3.9,-77.1,0.17,0.28,0.51,0.92,1.97
625,Cali,Colombia,3.44,-76.52,2917,71,456,456,BUENAVENTURA,82,3.9,-77.1,0.17,0.28,0.51,0.92,1.97
626,Cartagena,Colombia,10.4,-75.51,1106,1,572,572,CARTAGENA,4,10.4,-75.55,0.45,0.56,0.82,1.24,2.31
640,Alajuela,Costa Rica,10.02,-84.22,435,52,464,464,PUNTARENAS,67,9.97,-84.83,0.27,0.38,0.62,1.03,2.13
641,Heredia,Costa Rica,10.0,-84.12,359,58,464,464,PUNTARENAS,78,9.97,-84.83,0.27,0.38,0.62,1.03,2.13
642,San José,Costa Rica,9.93,-84.08,1503,51,464,464,PUNTARENAS,82,9.97,-84.83,0.27,0.38,0.62,1.03,2.13
647,La Habana (Havana),Cuba,23.12,-82.38,2156,3,1162,1162,SIBONEY,10,23.1,-82.47,0.38,0.48,0.72,1.12,2.2
648,Santiago de Cuba,Cuba,20.02,-75.82,443,2,418,418,GUANTANAMO_BAY,71,19.91,-75.15,0.28,0.38,0.65,1.05,2.14
652,Hamhung,Dem. People's Republic of Korea,39.92,127.54,546,12,1007,1007,WONSAN,84,39.17,127.45,0.18,0.31,0.59,1.07,2.13
655,Wonsan,Dem. People's Republic of Korea,39.15,127.44,366,2,1007,1007,WONSAN,2,39.17,127.45,0.18,0.31,0.59,1.07,2.13
672,København (Copenhagen),Denmark,55.68,12.57,1401,1,82,82,KOBENHAVN,3,55.7,12.6,0.1,0.24,0.52,0.94,1.76
681,Al-Iskandariyah (Alexandria),Egypt,31.19,29.9,5807,2,503,503,ALEXANDRIA,3,31.22,29.92,0.24,0.36,0.62,1.06,1.98
682,Al-Ismailiyah,Egypt,30.6,32.27,383,52,253,253,PORT_SAID,72,31.25,32.3,0.18,0.3,0.57,1.02,1.94
684,Al-Mansurah,Egypt,31.04,31.38,607,46,253,253,PORT_SAID,91,31.25,32.3,0.18,0.3,0.57,1.02,1.94
690,Bur Sa'id,Egypt,31.26,32.28,808,1,253,253,PORT_SAID,2,31.25,32.3,0.18,0.3,0.57,1.02,1.94
691,Kafr-ad-Dawwar,Egypt,31.13,30.13,375,15,503,503,ALEXANDRIA,22,31.22,29.92,0.24,0.36,0.62,1.06,1.98
693,San Salvador,El Salvador,13.69,-89.19,1132,26,1011,1011,ACAJUTLA,71,13.57,-89.83,0.25,0.36,0.6,1.0,2.1
696,Tallinn,Estonia,59.44,24.75,458,2,14,14,HELSINKI,80,60.15,24.96,-0.22,-0.07,0.24,0.67,1.46
702,Helsinki,Finland,60.17,24.94,1355,1,14,14,HELSINKI,2,60.15,24.96,-0.22,-0.07,0.24,0.67,1.46
704,Avignon,France,43.95,4.81,484,55,61,61,MARSEILLE,86,43.28,5.35,0.17,0.28,0.53,0.91,1.8
705,Béthune,France,50.53,2.63,365,61,468,468,DUNKERQUE,60,51.05,2.37,0.15,0.3,0.58,1.01,1.85
706,Bordeaux,France,44.84,-0.58,1018,18,1915,1915,PORT_BLOC,89,45.57,-1.06,0.16,0.28,0.53,0.93,1.81
707,Douai-Lens,France,50.37,3.08,507,89,489,489,NIEUWPOORT,90,51.15,2.73,0.18,0.32,0.61,1.03,1.88
709,Lille,France,50.63,3.06,1092,62,489,489,NIEUWPOORT,62,51.15,2.73,0.18,0.32,0.61,1.03,1.88
711,Marseille-Aix-en-Provence,France,43.53,5.44,1645,21,61,61,MARSEILLE,29,43.28,5.35,0.17,0.28,0.53,0.91,1.8
712,Montpellier,France,43.61,3.88,487,10,958,958,SETE,27,43.4,3.7,0.18,0.3,0.56,0.95,1.84
713,Nantes,France,47.22,-1.55,711,32,457,457,ST. NAZAIRE,49,47.27,-2.2,0.15,0.27,0.52,0.91,1.79
714,Nice-Cannes,France,43.66,7.15,956,1,1468,1468,NICE,12,43.7,7.29,0.11,0.23,0.48,0.87,1.75
716,Rennes,France,48.11,-1.67,371,52,454,454,ST. MALO,64,48.64,-2.03,0.13,0.27,0.53,0.93,1.8
717,Rouen,France,49.44,1.1,479,45,474,474,DIEPPE,54,49.93,1.08,0.25,0.39,0.68,1.1,1.95
720,Toulon,France,43.12,5.93,593,1,980,980,TOULON,2,43.11,5.91,0.12,0.24,0.5,0.88,1.77
731,Bremen,Germany,53.08,8.81,569,38,7,7,CUXHAVEN_2,89,53.87,8.72,0.2,0.34,0.64,1.07,1.89
738,Hamburg,Germany,53.55,10.0,1788,11,13,13,TRAVEMUNDE,73,53.96,10.87,0.19,0.33,0.63,1.07,1.88
749,Accra,Ghana,5.56,-0.2,2788,2,1049,1049,TEMA,23,5.62,0.0,0.23,0.34,0.6,1.02,2.05
751,Sekondi Takoradi,Ghana,4.93,-1.71,1160,1,331,331,TAKORADI,7,4.88,-1.75,0.32,0.42,0.67,1.08,2.13
753,Athínai (Athens),Greece,37.95,23.75,3155,5,374,374,PIRAIEVS,11,37.94,23.63,-0.0,0.12,0.37,0.77,1.68
754,Thessaloniki,Greece,40.64,22.94,815,2,373,373,THESSALONIKI,2,40.63,22.93,0.28,0.4,0.65,1.05,1.94
759,San Pedro Sula,Honduras,15.5,-88.03,1034,23,557,557,PUERTO_CORTES,38,15.83,-87.95,0.57,0.69,0.97,1.4,2.49
781,Barddhaman,India,23.24,87.87,458,114,1002,1002,TRIBENI,62,22.98,88.4,1.64,1.76,2.01,2.44,3.43
785,Belgaum,India,15.85,74.5,800,80,1249,1249,MORMUGAO,90,15.42,73.8,0.13,0.25,0.51,0.96,2.01
788,Bhavnagar,India,21.77,72.15,767,5,420,420,BHAUNAGAR_I,16,21.8,72.3,0.27,0.41,0.71,1.19,2.19
790,Bhiwandi,India,19.3,73.07,944,15,43,43,MUMBAI,49,18.92,72.83,0.14,0.23,0.46,0.9,1.94
792,Bhubaneswar,India,20.23,85.83,1321,46,1161,1161,PARADIP,91,20.27,86.7,0.1,0.22,0.47,0.9,1.93
801,Chennai (Madras),India,13.05,80.25,12336,3,205,205,CHENNAI,8,13.1,80.3,0.11,0.21,0.45,0.9,1.97
802,Cherthala,India,9.68,76.34,931,5,438,438,COCHIN,33,9.97,76.27,0.23,0.33,0.58,1.02,2.11
804,Cuttack,India,20.46,85.88,805,70,1161,1161,PARADIP,88,20.27,86.7,0.1,0.22,0.47,0.9,1.93
821,Gandhidham,India,23.07,70.14,466,8,596,596,KANDLA,10,23.02,70.22,0.11,0.21,0.46,0.9,1.9
828,Habra,India,22.83,88.63,382,84,1002,1002,TRIBENI,28,22.98,88.4,1.64,1.76,2.01,2.44,3.43
845,Jamnagar,India,22.47,70.07,691,7,596,596,KANDLA,64,23.02,70.22,0.11,0.21,0.46,0.9,1.9
852,Kanhangad,India,12.31,75.11,399,3,696,696,MANGALORE,67,12.85,74.83,-0.0,0.14,0.44,0.91,1.97
858,Kayamkulam,India,9.17,76.5,839,2,438,438,COCHIN,93,9.97,76.27,0.23,0.33,0.58,1.02,2.11
860,Kharagpur,India,22.33,87.32,352,73,1369,1369,GANGRA,84,21.95,88.02,0.14,0.28,0.54,0.98,1.98
861,Kochi (Cochin),India,9.93,76.26,3605,1,438,438,COCHIN,5,9.97,76.27,0.23,0.33,0.58,1.02,2.11
863,Kolkata (Calcutta),India,22.53,88.36,15845,42,48,48,KIDDERPORE,3,22.53,88.33,-0.33,-0.21,0.04,0.46,1.47
867,Kottayam,India,9.58,76.52,885,23,438,438,COCHIN,51,9.97,76.27,0.23,0.33,0.58,1.02,2.11
876,Mangalore,India,12.92,74.86,779,4,1423,1423,MANGALORE,6,12.92,74.8,0.11,0.24,0.52,0.97,2.03
881,Morvi,India,22.82,70.83,399,43,596,596,KANDLA,67,23.02,70.22,0.11,0.21,0.46,0.9,1.9
882,Mumbai (Bombay),India,19.07,72.88,22089,3,43,43,MUMBAI,18,18.92,72.83,0.14,0.23,0.46,0.9,1.94
892,Ottappalam,India,10.77,76.38,465,43,438,438,COCHIN,90,9.97,76.27,0.23,0.33,0.58,1.02,2.11
893,Palakkad,India,10.77,76.65,412,69,438,438,COCHIN,99,9.97,76.27,0.23,0.33,0.58,1.02,2.11
903,Rajkot,India,22.3,70.78,2150,66,596,596,KANDLA,99,23.02,70.22,0.11,0.21,0.46,0.9,1.9
916,Santipur,India,23.25,88.43,412,120,1002,1002,TRIBENI,30,22.98,88.4,1.64,1.76,2.01,2.44,3.43
924,Surat,India,21.17,72.83,8582,5,420,420,BHAUNAGAR_I,90,21.8,72.3,0.27,0.41,0.71,1.19,2.19
927,Thoothukkudi (Tuticorin),India,8.81,78.14,644,3,1072,1072,TUTICORIN,10,8.75,78.2,0.07,0.19,0.46,0.91,2.0
928,Thrissur,India,10.52,76.22,3720,17,438,438,COCHIN,61,9.97,76.27,0.23,0.33,0.58,1.02,2.11
930,Tirunelveli,India,8.73,77.7,616,46,1072,1072,TUTICORIN,55,8.75,78.2,0.07,0.19,0.46,0.91,2.0
940,Visakhapatnam,India,17.68,83.21,2440,6,414,414,VISAKHAPATNAM,7,17.68,83.28,0.08,0.19,0.43,0.87,1.91
948,Batam,Indonesia,1.12,104.03,1859,2,1746,1746,TANJONG_PAGAR,26,1.27,103.85,0.12,0.26,0.54,0.98,2.09
1021,Dublin,Ireland,53.33,-6.25,1299,2,432,432,DUBLIN,3,53.35,-6.22,0.1,0.26,0.52,0.9,1.74
1023,Hefa (Haifa),Israel,32.81,34.99,1200,2,1797,1797,HADERA,40,32.47,34.86,0.17,0.3,0.57,1.02,1.94
1024,Jerusalem,Israel,31.77,35.22,997,52,1797,1797,HADERA,85,32.47,34.86,0.17,0.3,0.57,1.02,1.94
1025,Tel Aviv-Yafo (Tel Aviv-Jaffa),Israel,32.08,34.78,4569,2,1797,1797,HADERA,44,32.47,34.86,0.17,0.3,0.57,1.02,1.94
1032,Cagliari,Italy,39.21,9.13,479,2,104,104,CAGLIARI,3,39.2,9.17,0.19,0.31,0.57,0.98,1.89
1033,Caserta,Italy,41.08,14.33,433,27,129,129,NAPOLI,24,40.87,14.27,0.15,0.26,0.51,0.91,1.81
1037,Genova (Genoa),Italy,44.41,8.93,674,1,59,59,GENOVA,3,44.4,8.9,0.15,0.26,0.51,0.89,1.77
1042,Napoli (Naples),Italy,40.85,14.26,2182,2,105,105,NAPOLI,1,40.84,14.26,0.15,0.26,0.51,0.91,1.81
1043,Nola,Italy,40.92,14.53,330,21,129,129,NAPOLI,23,40.87,14.27,0.15,0.26,0.51,0.91,1.81
1044,Padova,Italy,45.42,11.88,700,21,39,39,VENEZIA,35,45.42,12.33,0.23,0.35,0.59,0.97,1.83
1045,Palermo,Italy,38.12,13.36,851,2,107,107,PALERMO,3,38.13,13.33,0.13,0.24,0.51,0.92,1.84
1049,Roma (Rome),Italy,41.89,12.48,4347,24,106,106,CIVITAVECCHIA,57,42.05,11.82,0.11,0.22,0.48,0.89,1.78
1050,Salerno,Italy,40.68,14.77,423,2,105,105,NAPOLI,46,40.84,14.26,0.15,0.26,0.51,0.91,1.81
1054,Treviso,Italy,45.67,12.24,386,19,168,168,VENEZIA,27,45.43,12.33,0.23,0.35,0.59,0.97,1.84
1055,Venezia,Italy,45.44,12.34,643,0,168,168,VENEZIA,1,45.43,12.33,0.23,0.35,0.59,0.97,1.84
1057,Vicenza,Italy,45.56,11.54,334,51,168,168,VENEZIA,63,45.43,12.33,0.23,0.35,0.59,0.97,1.84
1059,Akita,Japan,39.72,140.12,296,3,1264,1264,OGA,43,39.94,139.71,0.04,0.14,0.39,0.86,1.99
1061,Chukyo M.M.A. (Nagoya),Japan,35.18,136.91,9535,10,1488,1488,NAGOYA_II,10,35.09,136.88,-0.09,0.02,0.28,0.75,1.87
1062,Fukuyama,Japan,34.48,133.37,460,2,812,812,UNO,54,34.49,133.95,0.52,0.62,0.88,1.33,2.46
1063,Hiroshima,Japan,34.39,132.46,2058,2,1028,1028,HIROSIMA,5,34.35,132.46,0.45,0.55,0.81,1.26,2.38
1064,Iwaki,Japan,37.05,140.88,354,8,635,635,ONAHAMA,12,36.94,140.89,-0.04,0.07,0.35,0.87,2.01
1065,Kagoshima,Japan,31.57,130.55,579,2,1265,1265,AKUNE,60,32.02,130.19,0.14,0.25,0.52,0.98,2.1
1066,Kanazawa,Japan,36.56,136.64,461,7,1190,1190,MIKUNI,56,36.25,136.15,0.42,0.52,0.78,1.24,2.36
1067,Kinki M.M.A. (Osaka),Japan,34.68,135.55,18922,9,1099,1099,OSAKA,11,34.66,135.43,0.54,0.65,0.9,1.37,2.49
1068,Kitakyushu-Fukuoka M.M.A.,Japan,33.61,130.42,5466,1,1094,1094,HAKATA,2,33.62,130.41,0.23,0.33,0.59,1.04,2.15
1069,Kochi,Japan,33.56,133.53,320,3,1567,1567,KOCHI_III,8,33.5,133.57,0.1,0.22,0.49,0.96,2.08
1070,Koriyama,Japan,37.4,140.38,324,57,635,635,ONAHAMA,68,36.94,140.89,-0.04,0.07,0.35,0.87,2.01
1071,Kumamoto,Japan,32.79,130.74,735,12,810,810,MISUMI,33,32.62,130.45,0.32,0.43,0.69,1.15,2.27
1072,Kurashiki,Japan,34.58,133.77,470,6,812,812,UNO,20,34.49,133.95,0.52,0.62,0.88,1.33,2.46
1073,Kurume,Japan,33.32,130.52,302,6,1094,1094,HAKATA,35,33.62,130.41,0.23,0.33,0.59,1.04,2.15
1075,Matsuyama,Japan,33.83,132.76,502,5,1062,1062,MATSUYAMA_II,6,33.86,132.71,0.04,0.14,0.41,0.86,1.99
1076,Miyazaki,Japan,31.92,131.43,395,2,814,814,ABURATSU,37,31.58,131.41,0.24,0.35,0.63,1.09,2.22
1077,Nagano,Japan,36.65,138.18,364,51,753,753,KASHIWAZAKI,84,37.36,138.51,0.18,0.27,0.52,0.99,2.12
1078,Nagasaki,Japan,32.75,129.88,397,2,1100,1100,NAGASAKI,2,32.73,129.87,0.26,0.36,0.62,1.08,2.2
1079,Naha,Japan,26.21,127.69,318,1,1151,1151,NAHA,2,26.21,127.67,0.24,0.36,0.66,1.12,2.25
1080,Niigata,Japan,37.91,139.03,794,2,1093,1093,AWA_SIMA,65,38.47,139.25,0.47,0.56,0.81,1.28,2.41
1081,Oita,Japan,33.24,131.61,474,2,1293,1293,OITA_II,8,33.27,131.69,0.17,0.27,0.54,0.99,2.11
1082,Okayama,Japan,34.65,133.91,719,4,812,812,UNO,18,34.49,133.95,0.52,0.62,0.88,1.33,2.46
1083,Sapporo,Japan,43.06,141.35,2654,15,159,159,OSHORO_I,42,43.22,140.87,0.15,0.26,0.5,0.96,2.07
1084,Sendai,Japan,38.26,140.9,2338,7,1345,1345,SOMA,48,37.83,140.96,0.6,0.72,1.01,1.53,2.66
1085,Shizuoka-Hamamatsu M.M.A.,Japan,34.98,138.38,2930,5,1438,1438,YAIZU,13,34.87,138.33,0.53,0.65,0.92,1.39,2.53
